device_id,city
household_838591,Subotica
household_251104,Kragujevac
household_917550,Vranje
household_490433,Novi Sad
household_754478,Beograd
household_855489,Smederevo
household_842751,Pančevo
household_291654,Pančevo
household_272784,Beograd
household_946724,Vranje
household_632887,Kragujevac
household_785259,Kragujevac
household_411108,Vranje
household_269061,Pančevo
household_269491,Čačak
household_12329,Zrenjanin
household_932678,Leskovac
household_181933,Šabac
household_594176,Čačak
household_572168,Kragujevac
household_529411,Smederevo
household_425074,Kragujevac
household_921746,Beograd
household_507933,Novi Sad
household_130069,Novi Sad
household_757836,Kragujevac
household_546280,Leskovac
household_952516,Smederevo
household_918023,Užice
household_562028,Leskovac
household_268978,Leskovac
household_997099,Čačak
household_352449,Kraljevo
household_593947,Kraljevo
household_228429,Pančevo
household_271849,Pančevo
household_820116,Novi Sad
household_428546,Vranje
household_182349,Kragujevac
household_937571,Čačak
household_175806,Smederevo
household_322620,Vranje
household_11640,Vranje
household_564806,Čačak
household_303402,Novi Sad
household_496795,Subotica
household_635233,Kraljevo
household_724248,Užice
household_420081,Zrenjanin
household_417158,Zrenjanin
household_289648,Užice
household_671688,Subotica
household_215313,Niš
household_178679,Užice
household_220406,Novi Pazar
household_451621,Leskovac
household_835960,Beograd
household_135835,Čačak
household_891015,Vranje
household_680669,Pančevo
household_362777,Zrenjanin
household_993801,Smederevo
household_634247,Pančevo
household_869991,Kraljevo
household_717389,Kraljevo
household_122550,Novi Sad
household_973626,Užice
household_820990,Kraljevo
household_143757,Pančevo
household_851797,Čačak
household_946981,Novi Sad
household_101683,Vranje
household_313808,Čačak
household_22726,Vranje
household_816213,Niš
household_831838,Šabac
household_473240,Kraljevo
household_488226,Šabac
household_647184,Užice
household_497827,Pančevo
household_675691,Pančevo
household_708920,Šabac
household_124936,Beograd
household_765523,Novi Sad
household_422493,Subotica
household_876584,Leskovac
household_412811,Subotica
household_92442,Subotica
household_602244,Subotica
household_760160,Čačak
household_984115,Kragujevac
household_977927,Subotica
household_893134,Kraljevo
household_561015,Šabac
household_810614,Šabac
household_458002,Subotica
household_856450,Beograd
household_322280,Kraljevo
household_972317,Kraljevo
household_101652,Vranje
household_716949,Kragujevac
household_238199,Niš
household_115805,Zrenjanin
household_307567,Kragujevac
household_849314,Čačak
household_485178,Beograd
household_21046,Novi Pazar
household_304532,Smederevo
household_951439,Niš
household_848233,Subotica
household_524476,Čačak
household_791810,Kragujevac
household_625916,Kragujevac
household_762839,Pančevo
household_196250,Vranje
household_936579,Niš
household_774458,Pančevo
household_518407,Beograd
household_642038,Čačak
household_303151,Čačak
household_605791,Smederevo
household_994474,Pančevo
household_443944,Kraljevo
household_484602,Subotica
household_928987,Leskovac
household_407819,Užice
household_150490,Zrenjanin
household_835124,Čačak
household_759964,Novi Sad
household_121621,Kraljevo
household_707299,Zrenjanin
household_966221,Subotica
household_913527,Pančevo
household_77173,Kragujevac
household_156805,Subotica
household_303132,Kragujevac
household_165609,Užice
household_159416,Užice
household_419494,Leskovac
household_450620,Beograd
household_611870,Smederevo
household_598694,Leskovac
household_80741,Niš
household_162283,Novi Pazar
household_586469,Leskovac
household_872299,Smederevo
household_923695,Novi Pazar
household_494013,Kraljevo
household_757778,Leskovac
household_838075,Užice
household_893620,Zrenjanin
household_379583,Pančevo
household_496151,Vranje
household_603925,Pančevo
household_646455,Vranje
household_669294,Zrenjanin
household_261458,Užice
household_284092,Kragujevac
household_114823,Leskovac
household_787499,Šabac
household_478276,Zrenjanin
household_306218,Vranje
household_907095,Leskovac
household_672705,Vranje
household_579954,Kraljevo
household_737693,Smederevo
household_724202,Beograd
household_894805,Leskovac
household_791568,Pančevo
household_481315,Užice
household_810768,Beograd
household_191360,Pančevo
household_357542,Novi Pazar
household_180922,Kraljevo
household_61333,Užice
household_244916,Vranje
household_49168,Užice
household_571324,Šabac
household_884227,Beograd
household_35743,Šabac
household_231923,Kraljevo
household_346934,Novi Sad
household_770912,Smederevo
household_273642,Leskovac
household_449230,Smederevo
household_488329,Čačak
household_7715,Čačak
household_63557,Novi Sad
household_161474,Šabac
household_681997,Beograd
household_321500,Subotica
household_477205,Kragujevac
household_766051,Kragujevac
household_609617,Pančevo
household_530411,Kragujevac
household_382027,Subotica
household_967437,Leskovac
household_712983,Novi Pazar
household_436019,Leskovac
household_337119,Zrenjanin
household_289375,Užice
household_638807,Subotica
household_799989,Pančevo
household_903539,Kragujevac
household_487805,Beograd
household_581688,Pančevo
household_456190,Kragujevac
household_734209,Vranje
household_968418,Leskovac
household_838283,Novi Pazar
household_613990,Pančevo
household_70070,Beograd
household_780167,Užice
household_19300,Novi Sad
household_889882,Zrenjanin
household_59632,Niš
household_581391,Novi Pazar
household_619819,Kraljevo
household_181497,Kraljevo
household_906250,Kraljevo
household_236112,Užice
household_214999,Subotica
household_829632,Smederevo
household_460123,Niš
household_201439,Vranje
household_561112,Vranje
household_880353,Kraljevo
household_397975,Kragujevac
household_811163,Novi Sad
